Date,Open,Close,Low,High,Volume,,MACD,,
1921-12-31,78.12,80.8,78.12,81.5,0,,0.606922691,,
1922-01-31,78.91,81.3,78.59,82.95,0,,1.092754173,,
1922-02-28,81.68,85.46,81.68,85.81,0,,1.648498807,,
1922-03-31,85.33,89.05,85.33,89.05,0,,2.17879727,,
1922-04-30,90.05,91.93,89.3,93.21,0,,2.615070981,,
1922-05-31,93.35,95.63,91.5,96.41,0,,3.01591182,,
1922-06-30,96.03,92.93,90.73,96.36,0,,2.95822436,,
1922-07-31,92.92,97.05,92.92,97.05,0,,3.044658394,,
1922-08-31,96.25,100.78,96.21,100.78,0,,3.185065691,,
1922-09-30,101.28,97.12,96.58,102.05,0,,2.873070057,,
1922-10-31,97.67,96.11,96.11,102.76,0,,2.456440858,,
1922-11-30,96.23,94.65,92.03,99.53,0,,1.961753085,,
1922-12-31,95.73,98.17,95.03,99.22,0,,1.757412793,,
1923-01-31,98.77,97.43,96.96,99.42,0,,1.469899787,,
1923-02-28,97.71,103.9,97.71,103.9,0,,1.602102799,,
1923-03-31,104.23,102.77,102.36,105.38,0,,1.501779618,,
1923-04-30,101.51,98.38,98.38,102.7,0,,1.049504187,,
1923-05-31,97.4,97.53,92.77,98.19,0,,0.623863427,,
1923-06-30,95.36,88.4,88.4,97.24,0,,-0.292602611,,
1923-07-31,88.95,86.91,86.91,91.72,0,,-0.98043191,,
1923-08-31,87.96,93.46,87.96,93.7,0,,-0.973570362,,
1923-09-30,92.25,87.97,87.94,93.61,0,,-1.297795451,,
1923-10-31,88.06,88.53,85.91,90.45,0,,-1.42348801,,
1923-11-30,88.41,92.34,88.41,92.88,0,,-1.207503391,,
1923-12-31,92.64,95.52,92.64,95.61,0,,-0.826137389,,
1924-01-31,95.65,100.66,94.88,100.66,0,,-0.234139822,,
1924-02-29,100.7,97.22,96.33,101.31,0,,-0.088177864,,
1924-03-31,97.1,93.01,92.54,98.86,0,,-0.278372578,,
1924-04-30,93.5,90.63,89.18,94.69,0,,-0.551872668,,
1924-05-31,92.12,89.9,88.33,92.47,0,,-0.756692652,,
1924-06-30,90.15,96.37,89.18,96.37,0,,-0.44651644,,
1924-07-31,96.45,102.14,96.38,102.14,0,,0.126534798,,
1924-08-31,102.12,104.14,101.51,105.57,0,,0.593429726,,
